Price,Close,High,Low,Open,Volume
Ticker,VND=X,VND=X,VND=X,VND=X,VND=X
Date,,,,,
2003-12-01,15113.0,15113.0,15113.0,15113.0,0
2003-12-02,15075.0,15075.0,15075.0,15075.0,0
2003-12-03,15102.0,15102.0,15102.0,15102.0,0
2003-12-04,15087.0,15087.0,15087.0,15087.0,0
2003-12-05,15089.0,15089.0,15089.0,15089.0,0
2003-12-08,15093.0,15093.0,15093.0,15093.0,0
2003-12-09,15105.0,15105.0,15105.0,15105.0,0
2003-12-10,15109.0,15109.0,15109.0,15109.0,0
2003-12-11,15108.0,15108.0,15108.0,15108.0,0
2003-12-12,15124.0,15124.0,15124.0,15124.0,0
2003-12-15,15123.0,15123.0,15123.0,15123.0,0
2003-12-16,15131.0,15131.0,15131.0,15131.0,0
2003-12-17,15157.0,15157.0,15157.0,15157.0,0
2003-12-18,15161.0,15161.0,15161.0,15161.0,0
2003-12-19,15137.0,15137.0,15137.0,15137.0,0
2003-12-22,15152.0,15152.0,15152.0,15152.0,0
2003-12-23,15153.0,15153.0,15153.0,15153.0,0
2003-12-29,15150.0,15150.0,15150.0,15150.0,0
2003-12-30,15147.0,15147.0,15147.0,15147.0,0
2003-12-31,15002.0,15002.0,15002.0,15002.0,0
2004-01-02,15147.0,15147.0,15147.0,15147.0,0
2004-01-05,15148.0,15148.0,15148.0,15148.0,0
2004-01-06,15150.0,15150.0,15150.0,15150.0,0
2004-01-07,15153.0,15153.0,15153.0,15153.0,0
2004-01-08,15129.0,15129.0,15129.0,15129.0,0
2004-01-09,15176.0,15176.0,15176.0,15176.0,0
2004-01-12,15158.0,15158.0,15158.0,15158.0,0
2004-01-13,15163.0,15163.0,15163.0,15163.0,0
2004-01-14,15162.0,15162.0,15162.0,15162.0,0
2004-01-15,15164.0,15164.0,15164.0,15164.0,0
2004-01-16,15187.0,15187.0,15187.0,15187.0,0
2004-01-19,15143.0,15143.0,15143.0,15143.0,0
2004-01-20,15138.0,15138.0,15138.0,15138.0,0
2004-01-21,15153.0,15153.0,15148.0,15148.0,0
2004-01-22,15172.0,15172.0,15172.0,15172.0,0
2004-01-23,15192.0,15192.0,15192.0,15192.0,0
2004-01-26,15174.0,15174.0,15174.0,15174.0,0
2004-01-27,15170.0,15170.0,15170.0,15170.0,0
2004-01-28,15194.0,15194.0,15194.0,15194.0,0
2004-01-29,15198.0,15198.0,15198.0,15198.0,0
2004-01-30,15165.0,15165.0,15165.0,15165.0,0
2004-02-02,15179.0,15179.0,15179.0,15179.0,0
2004-02-03,15228.0,15228.0,15228.0,15228.0,0
2004-02-04,15228.0,15228.0,15228.0,15228.0,0
2004-02-05,15216.0,15216.0,15216.0,15216.0,0
2004-02-06,15208.0,15208.0,15208.0,15208.0,0
2004-02-09,15304.0,15304.0,15234.0,15234.0,0
2004-02-10,15208.0,15208.0,15208.0,15208.0,0
2004-02-11,15190.0,15190.0,15190.0,15190.0,0
2004-02-12,15195.0,15195.0,15195.0,15195.0,0
2004-02-13,15222.0,15222.0,15222.0,15222.0,0
2004-02-16,15226.0,15226.0,15226.0,15226.0,0
2004-02-17,15243.0,15243.0,15243.0,15243.0,0
2004-02-18,15242.0,15242.0,15242.0,15242.0,0
2004-02-19,15225.0,15225.0,15225.0,15225.0,0
2004-02-20,15231.0,15231.0,15231.0,15231.0,0
2004-02-23,15239.0,15239.0,15239.0,15239.0,0
2004-02-24,15248.0,15248.0,15248.0,15248.0,0
2004-02-25,15269.0,15269.0,15269.0,15269.0,0
2004-02-26,15226.0,15226.0,15226.0,15226.0,0
2004-02-27,15242.0,15242.0,15242.0,15242.0,0
2004-03-01,15257.0,15257.0,15257.0,15257.0,0
2004-03-02,15257.0,15257.0,15257.0,15257.0,0
2004-03-03,15280.0,15280.0,15280.0,15280.0,0
2004-03-04,15287.0,15287.0,15287.0,15287.0,0
2004-03-05,15263.0,15263.0,15263.0,15263.0,0
2004-03-08,15269.0,15269.0,15269.0,15269.0,0
2004-03-09,15247.0,15247.0,15247.0,15247.0,0
2004-03-10,15247.0,15247.0,15247.0,15247.0,0
2004-03-11,15233.0,15233.0,15233.0,15233.0,0
2004-03-12,15265.0,15265.0,15265.0,15265.0,0
2004-03-15,15261.0,15261.0,15261.0,15261.0,0
2004-03-16,15228.0,15228.0,15228.0,15228.0,0
2004-03-17,15216.0,15216.0,15216.0,15216.0,0
2004-03-18,15224.0,15224.0,15224.0,15224.0,0
2004-03-19,15230.0,15230.0,15230.0,15230.0,0
2004-03-22,15225.0,15225.0,15225.0,15225.0,0
2004-03-23,15228.0,15228.0,15228.0,15228.0,0
2004-03-24,15235.0,15235.0,15235.0,15235.0,0
2004-03-25,15213.0,15213.0,15213.0,15213.0,0
2004-03-26,15221.0,15221.0,15221.0,15221.0,0
2004-03-29,15237.0,15237.0,15237.0,15237.0,0
2004-03-30,15226.0,15226.0,15226.0,15226.0,0
2004-03-31,15201.0,15201.0,15201.0,15201.0,0
2004-04-01,15226.0,15226.0,15226.0,15226.0,0
2004-04-02,15226.0,15226.0,15226.0,15226.0,0
2004-04-05,15210.0,15210.0,15210.0,15210.0,0
2004-04-06,15210.0,15210.0,15210.0,15210.0,0
2004-04-07,15193.0,15193.0,15193.0,15193.0,0
2004-04-08,15213.0,15213.0,15213.0,15213.0,0
2004-04-13,15202.0,15202.0,15202.0,15202.0,0
2004-04-14,15196.0,15196.0,15196.0,15196.0,0
2004-04-15,15193.0,15193.0,15193.0,15193.0,0
2004-04-16,15183.0,15183.0,15183.0,15183.0,0
2004-04-19,15192.0,15192.0,15192.0,15192.0,0
2004-04-20,15189.0,15189.0,15183.0,15183.0,0
2004-04-21,15179.0,15179.0,15179.0,15179.0,0
2004-04-22,15179.0,15179.0,15179.0,15179.0,0
2004-04-23,15205.0,15205.0,15205.0,15205.0,0
2004-04-26,15196.0,15196.0,15196.0,15196.0,0
2004-04-27,15209.0,15209.0,15209.0,15209.0,0
2004-04-28,15179.0,15179.0,15179.0,15179.0,0
2004-04-29,15189.0,15189.0,15189.0,15189.0,0
2004-04-30,15149.0,15200.0,15149.0,15200.0,0
2004-05-03,15186.0,15186.0,15186.0,15186.0,0
2004-05-04,15198.0,15198.0,15198.0,15198.0,0
2004-05-05,15207.0,15207.0,15207.0,15207.0,0
2004-05-06,15239.0,15239.0,15239.0,15239.0,0
2004-05-07,15207.0,15207.0,15207.0,15207.0,0
2004-05-10,15196.0,15196.0,15196.0,15196.0,0
2004-05-11,15197.0,15197.0,15197.0,15197.0,0
2004-05-12,15203.0,15203.0,15203.0,15203.0,0
2004-05-13,15202.0,15202.0,15202.0,15202.0,0
2004-05-14,15200.0,15200.0,15200.0,15200.0,0
2004-05-17,15231.0,15231.0,15231.0,15231.0,0
2004-05-18,15227.0,15227.0,15227.0,15227.0,0
2004-05-19,15235.0,15235.0,15235.0,15235.0,0
2004-05-21,15253.0,15253.0,15244.0,15244.0,0
2004-05-24,15227.0,15227.0,15227.0,15227.0,0
2004-05-25,15224.0,15224.0,15224.0,15224.0,0
2004-05-26,15221.0,15221.0,15221.0,15221.0,0
2004-05-27,15231.0,15231.0,15231.0,15231.0,0
2004-05-28,15232.0,15232.0,15232.0,15232.0,0
2004-06-01,15236.0,15236.0,15236.0,15236.0,0
2004-06-02,15228.0,15228.0,15228.0,15228.0,0
2004-06-03,15216.0,15216.0,15216.0,15216.0,0
2004-06-04,15228.0,15228.0,15228.0,15228.0,0
2004-06-07,15245.0,15245.0,15245.0,15245.0,0
2004-06-08,15288.0,15288.0,15233.0,15237.0,0
2004-06-09,15233.0,15233.0,15213.0,15213.0,0
2004-06-10,15225.0,15225.0,15217.0,15217.0,0
2004-06-11,15196.0,15265.0,15196.0,15265.0,0
2004-06-14,15192.0,15240.0,15192.0,15240.0,0
2004-06-15,15194.0,15194.0,15121.0,15121.0,0
2004-06-16,15195.0,15195.0,15195.0,15195.0,0
2004-06-17,15194.0,15194.0,15194.0,15194.0,0
2004-06-18,15192.0,15273.0,15192.0,15273.0,0
2004-06-21,15212.0,15212.0,15059.0,15059.0,0
2004-06-22,15218.0,15218.0,15218.0,15218.0,0
2004-06-23,15209.0,15209.0,15126.0,15149.0,0
2004-06-24,15207.0,15227.0,15207.0,15227.0,0
2004-06-25,15205.0,15205.0,15205.0,15205.0,0
2004-06-28,15220.0,15220.0,15175.0,15175.0,0
2004-06-29,15208.0,15211.0,15208.0,15209.0,0
2004-06-30,15206.0,15296.0,15206.0,15296.0,0
2004-07-01,15228.0,15228.0,15228.0,15228.0,0
2004-07-02,15213.0,15213.0,15213.0,15213.0,0
2004-07-05,15214.0,15214.0,15005.0,15005.0,0
2004-07-06,15229.0,15229.0,15229.0,15229.0,0
2004-07-07,15220.0,15220.0,15195.0,15195.0,0
2004-07-08,15206.0,15206.0,15206.0,15206.0,0
2004-07-09,15218.0,15218.0,15142.0,15142.0,0
2004-07-12,15211.0,15220.0,15211.0,15220.0,0
2004-07-13,15215.0,15215.0,15215.0,15215.0,0
2004-07-14,15217.0,15217.0,15217.0,15217.0,0
2004-07-15,15254.0,15254.0,15199.0,15219.0,0
2004-07-16,15217.0,15217.0,15217.0,15217.0,0
2004-07-19,15227.0,15227.0,15227.0,15227.0,0
2004-07-20,15244.0,15244.0,15244.0,15244.0,0
2004-07-21,15221.0,15221.0,15221.0,15221.0,0
2004-07-22,15214.0,15214.0,15214.0,15214.0,0
2004-07-23,15212.0,15212.0,15212.0,15212.0,0
2004-07-26,15230.0,15279.0,15230.0,15279.0,0
2004-07-27,15221.0,15221.0,15221.0,15221.0,0
2004-07-28,15167.0,15369.0,15167.0,15369.0,0
2004-07-29,15217.0,15217.0,15217.0,15217.0,0
2004-07-30,15228.0,15228.0,15228.0,15228.0,0
2004-08-02,15230.0,15230.0,15230.0,15230.0,0
2004-08-03,15224.0,15224.0,15224.0,15224.0,0
2004-08-04,15234.0,15234.0,15234.0,15234.0,0
2004-08-05,15256.0,15256.0,15256.0,15256.0,0
2004-08-06,15241.0,15241.0,15229.0,15229.0,0
2004-08-09,15256.0,15256.0,15256.0,15256.0,0
2004-08-10,15245.0,15245.0,15245.0,15245.0,0
2004-08-11,15246.0,15246.0,15246.0,15246.0,0
2004-08-12,15227.0,15227.0,15227.0,15227.0,0
2004-08-13,15225.0,15279.0,15225.0,15279.0,0
2004-08-16,15236.0,15236.0,15236.0,15236.0,0
2004-08-17,15251.0,15251.0,15251.0,15251.0,0
2004-08-18,15241.0,15241.0,15241.0,15241.0,0
2004-08-19,15242.0,15242.0,15242.0,15242.0,0
2004-08-20,15247.0,15247.0,15247.0,15247.0,0
2004-08-23,15256.0,15256.0,15256.0,15256.0,0
2004-08-24,15252.0,15397.0,15252.0,15397.0,0
2004-08-25,15238.0,15238.0,15238.0,15238.0,0
2004-08-26,15250.0,15250.0,15250.0,15250.0,0
2004-08-27,15249.0,15249.0,15249.0,15249.0,0
2004-08-30,15238.0,15238.0,15238.0,15238.0,0
2004-08-31,15226.0,15226.0,15226.0,15226.0,0
2004-09-01,15253.0,15253.0,15253.0,15253.0,0
2004-09-02,15250.0,15250.0,15250.0,15250.0,0
